"School Number","School Name","LA Code","Local Authority","Sector","Governance - see notes","WM Code","Welsh Medium Type - see notes","School Type","Religious Character","Address 1","Address 2","Address 3","Address 4","Postcode","Phone Number","Pupils - see notes","lon","lat"
6602145,"Ysgol Gymuned Moelfre",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Moelfre","Ynys Môn",NA,NA,"LL72 8NA","01248 410546",79,-4.2442363,53.3564658
6602146,"Ysgol Gynradd Llanbedrgoch",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanbedrgoch","Ynys Môn",NA,NA,"LL76 8SX","01248 450291",27,-4.226348,53.3010351
6602152,"Ysgol Gynradd Llanfairpwll",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Llanfairpwll","Ynys Môn",NA,NA,"LL61 5TX","01248 714478",355,-4.2061318,53.2217784
6602153,"Ysgol Gymuned Llanfechell",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanfechell","Amlwch","Ynys Môn",NA,"LL68 0SA","01407 710512",77,-4.462201,53.3904308
6602154,"Ysgol Y Graig",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Colleg","Lon Talwrn","Llangefni","Ynys Môn","LL77 7LP","01248 723092",378,-4.2934014,53.2588132
6602155,"Ysgol Gynradd Llangoed",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llangoed","Beaumaris","Ynys Môn",NA,"LL58 8LU","01248 490680",82,-4.0891027,53.2918065
6602156,"Ysgol Henblas",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Llangristiolus","Bodorgan","Ynys Môn",NA,"LL62 5DR","01248 723944",83,-4.3536989,53.2360463
6602157,"Ysgol Gymuned Llannerch-Y-Medd",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanerchymedd","Ynys Môn",NA,NA,"LL71 8DP","01248 470466",142,-4.3750162,53.3313067
6602160,"Ysgol Pencarnisiog",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pencarnisiog","Ty Croes","Ynys Môn",NA,"LL63 5RY","01407 810622",72,-4.4695087,53.2344612
6602161,"Ysgol Gymuned Pentraeth",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pentraeth","Ynys Môn",NA,NA,"LL75 8UP","01248 450315",102,-4.2192737,53.2812001
6602162,"Ysgol Penysarn",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Penysarn","Ynys Môn",NA,NA,"LL69 9AZ","01407 830678",92,-4.3137136,53.3908142
6602163,"Ysgol Santes Gwenfaen",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Rhoscolyn","Caergybi","Ynys Môn",NA,"LL65 2DX","01407 860264",116,-4.5974248,53.2657085
6602164,"Ysgol Gynradd Rhosneigr",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Rhosneigr","Ynys Môn",NA,NA,"LL64 5XA","01407 810571",71,-4.5125447,53.2304788
6602165,"Ysgol Gynradd Rhosybol",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Rhosybol","Amlwch","Ynys Môn",NA,"LL68 9PP","01407 830484",67,-4.362203,53.3748566
6602166,"Ysgol Gynradd Talwrn",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Talwrn","Llangefni","Ynys Môn",NA,"LL77 7TG","01248 723363",43,-4.2771982,53.274244
6602168,"Ysgol Gymuned y Fali",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Y Fali","Ynys Môn",NA,NA,"LL65 3EU","01407 740518",97,-4.5674702,53.281207
6602169,"Ysgol Llanfawr",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caergybi","Ynys Môn",NA,NA,"LL65 2DS","01407 762552",316,-4.6238738,53.3077384
6602170,"Ysgol Goronwy Owen",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Benllech","Ynys Môn",NA,NA,"LL74 8SG","01248 852667",135,-4.2291914,53.3222071
6602172,"Ysgol Gynradd Niwbwrch",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Niwbwrch","Llanfairpwll","Ynys Môn",NA,"LL61 6TE","01248 440651",50,-4.3511446,53.166677
6602173,"Ysgol Gynradd Y Tywyn",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caergeiliog","Ynys Môn",NA,NA,"LL65 3LW","01407 740781",122,-4.5193151,53.2612677
6602174,"Ysgol Gynradd Llandegfan",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Llandegfan","Porthaethwy","Ynys Môn",NA,"LL59 5UW","01248 713431",154,-4.1491372,53.244265
6602175,"Ysgol Gynradd Y Borth",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Porthaethwy","Ynys Môn",NA,NA,"LL59 5DS","01248 713000",263,-4.1670174,53.2293907
6602176,"Ysgol Gynradd Kingsland",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caergybi","Ynys Môn",NA,NA,"LL65 2TH","01407 763295",189,-4.6248148,53.2994272
6602177,"Ysgol Gymraeg Morswyn",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caergybi","Ynys Môn",NA,NA,"LL65 2PU","01407 762233",141,-4.6233344,53.3020176
6602226,"Ysgol Gynradd Corn Hir",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Llangefni","Ynys Môn",NA,NA,"LL77 7JB","01248 722558",224,-4.3278538,53.2599304
6602227,"Ysgol Rhyd y Llan",660,"Isle of Anglesey","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanfaethlu","Caergybi","Ynys Môn",NA,"LL65 4PQ",NA,142,-4.5367622,53.3565234
6603034,"Ysgol Gynradd Parc Y Bont",660,"Isle of Anglesey","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Llanddaniel fab","Ynys Môn",NA,NA,"LL60 6HB","01248 422350",119,-4.2478457,53.2159157
6603035,"Ysgol Gynradd Llangaffo",660,"Isle of Anglesey","Primary","Voluntary controlled","WM","Welsh medium","Infants & Juniors","Church in Wales","Llangaffo","Gaerwen","Ynys Môn",NA,"LL60 6LT","01248 440666",45,-4.3232093,53.1902784
6603036,"Ysgol Cybi",660,"Isle of Anglesey","Primary","Voluntary controlled","WM","Welsh medium","Nursery, Infants & Juniors","Church in Wales","Ffordd Garreglwyd",NA,NA,"CAERGYBI","LL65 1NS","01407 883150",489,-4.6428378,53.3102109
6603304,"Ysgol Santes Fair",660,"Isle of Anglesey","Primary","Voluntary aided","EM","English medium","Nursery, Infants & Juniors","Roman Catholic","Longford Road","Holyhead","Anglesey",NA,"LL65 1TR","01407 763176",173,-4.6351186,53.3080621
6604025,"Ysgol Syr Thomas Jones",660,"Isle of Anglesey","Secondary","Community","BB","Bilingual (Type B)","Secondary (ages 11-19)","---","Pentrefelin","Amlwch","Ynys Mon",NA,"LL68 9TH","01407 830287",479,-4.3506245,53.4036751
6604026,"Ysgol Uwchradd Caergybi",660,"Isle of Anglesey","Secondary","Community","EW","English with significant Welsh","Secondary (ages 11-19)","---","Caergybi","Ynys Môn",NA,NA,"LL65 1NP","01407 762219",818,-4.6398027,53.3111734
6604027,"Ysgol Gyfun Llangefni",660,"Isle of Anglesey","Secondary","Community","BB","Bilingual (Type B)","Secondary (ages 11-19)","---","Llangefni","Ynys Môn",NA,NA,"LL77 7NG","01248 723441",670,-4.321589,53.2550959
6604028,"Ysgol David Hughes",660,"Isle of Anglesey","Secondary","Community","BB","Bilingual (Type B)","Secondary (ages 11-19)","---","Ffordd Pentraeth","Porthaethwy","Ynys Môn",NA,"LL59 5SS","01248 712287",1101,-4.178793,53.2277982
6604029,"Ysgol Uwchradd Bodedern",660,"Isle of Anglesey","Secondary","Community","BB","Bilingual (Type B)","Secondary (ages 11-19)","---","Bro Alaw","Bodedern","Caergybi","Ynys Môn","LL65 3TL","01407 741000",649,-4.5029311,53.2921013
6605200,"Ysgol Caergeiliog",660,"Isle of Anglesey","Primary","Foundation","DS","Dual Stream","Nursery, Infants & Juniors","---","Caergeiliog","Caergybi","Ynys Môn",NA,"LL65 3NP","01407 740619",435,-4.5301977,53.2757072
6607011,"Canolfan Addysg Y Bont",660,"Isle of Anglesey","Special","Not Applicable","NA","Not applicable","Special (with post-16 provision)","---","Ffordd Cildwrn","Llangefni","Ynys Mon",NA,"LL77 7PG","01248 750151",92,-4.3212486,53.2569641
6612000,"Ysgol Gwaun Gyfni",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Deiniolen","Gwynedd",NA,NA,"LL55 3LT","01286 870687",150,-4.1299598,53.1499482
6612004,"Ysgol Gynradd Nefyn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Dewi Sant","Nefyn","Pwllheli","Gwynedd","LL53 6EA","01758 720765",162,-4.5243695,52.9354153
6612006,"Ysgol Llanrug",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caernarfon","Gwynedd",NA,NA,"LL55 4AL","01286 674905",255,-4.1920431,53.1476122
6612008,"Ysgol Gynradd Abererch",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Abererch","Pwllheli","Gwynedd",NA,"LL53 6YU","01758 613441",82,-4.3860537,52.9049901
6612009,"Ysgol Abersoch",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pwllheli","Gwynedd",NA,NA,"LL53 7EA","01758 712764",15,-4.5066218,52.8234415
6612010,"Ysgol Beddgelert",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Beddgelert","Gwynedd",NA,NA,"LL55 4UY","01766 890307",18,-4.1039974,53.0124198
6612011,"Ysgol Bethel",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caernarfon","Gwynedd",NA,NA,"LL55 1AX","01248 670663",140,-4.2049388,53.1645106
6612013,"Ysgol Bodfeurig",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Tregarth","Gwynedd",NA,NA,"LL57 4RN","01248 600760",73,-4.090291,53.1769245
6612015,"Ysgol Gynradd Borth-Y-Gest",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Porthmadog","Gwynedd",NA,NA,"LL49 9UF","01766 513285",68,-4.1413512,52.9141022
6612017,"Ysgol Brynaerau",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pontllyfni","Caernarfon","Gwynedd",NA,"LL54 5EU","01286 660428",66,-4.3237688,53.0387024
6612026,"Ysgol Y Gelli",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Bethel","Caernarfon","Gwynedd",NA,"LL55 1DU","01286 674847",227,-4.258785,53.1477726
6612028,"Ysgol Penybryn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Juniors","---","Bethesda","Gwynedd",NA,NA,"LL57 3BE","01248 600375",125,-4.0578436,53.1805609
6612033,"Ysgol Treferthyr",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Criccieth","Gwynedd",NA,NA,"LL52 0DS","01766 522300",110,-4.234711,52.9173625
6612035,"Ysgol Cwm Y Glo",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Cwm-y-Glo","Caernarfon","Gwynedd",NA,"LL55 4DE","01286 870860",16,-4.1653738,53.1423149
6612036,"Ysgol Gynradd Chwilog",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Chwilog","Pwllheli","Gwynedd",NA,"LL53 6PS","01766 810627",47,-4.3357758,52.9179181
6612039,"Ysgol Crud-Y-Werin",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Aberdaron","Pwllheli","Gwynedd",NA,"LL53 8BP","01758 760205",62,-4.7148837,52.8067991
6612042,"Ysgol Dolbadarn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanberis","Gwynedd",NA,NA,"LL55 4SH","01286 870711",172,-4.127546,53.1185386
6612046,"Ysgol Gynradd Edern",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd y Rhos","Edern","Pwllheli","Gwynedd","LL53 8YW","01758 720272",78,-4.5666804,52.9193496
6612047,"Ysgol Felinwnda",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanwnda","Caernarfon","Gwynedd",NA,"LL54 5UG","01286 830017",22,-4.2962206,53.0989371
6612048,"Ysgol Bro Plenydd",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Y Ffor","Pwllheli","Gwynedd",NA,"LL53 6UP","01766 810625",79,-4.3843134,52.9282312
6612049,"Ysgol Gynradd Garndolbenmaen",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Garndolbenmaen","Gwynedd",NA,NA,"LL51 9SZ","01766 530626",50,-4.2473444,52.973526
6612051,"Ysgol Glanadda",661,"Gwynedd","Primary","Community","WM","Welsh medium","Juniors","---","Bangor","Gwynedd",NA,NA,"LL57 4SG","01248 352821",43,-4.1412721,53.2166292
6612059,"Ysgol Gynradd Llanaelhaearn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanaelhaearn","Caernarfon","Gwynedd",NA,"LL54 5AL","01758 750263",16,-4.403334,52.975081
6612060,"Ysgol Gynradd Llanbedrog",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanbedrog","Pwllheli","Gwynedd",NA,"LL53 7NU","01758 740631",79,-4.4894959,52.8608365
6612066,"Ysgol Gynradd Llangybi",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llangybi","Pwllheli","Gwynedd",NA,"LL53 6DQ","01766 810564",45,-4.3538364,52.9421182
6612069,"Ysgol Llanllechid",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanllechid","Bangor","Gwynedd",NA,"LL57 3EH","01248 600600",273,-4.0651221,53.1885704
6612070,"Ysgol Gynradd Llanllyfni",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanllyfni","Caernarfon","Gwynedd",NA,"LL54 6SH","01286 880729",83,-4.2812762,53.0409112
6612075,"Ysgol Babanod Morfa Nefyn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Morfa Nefyn","Pwllheli","Gwynedd",NA,"LL53 6AR","01758 720870",37,-4.549491,52.9297523
6612078,"Ysgol Baladeulyn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Nantlle","Caernarfon","Gwynedd",NA,"LL54 6BT","01286 880884",29,-4.1850115,53.0423158
6612081,"Ysgol Gynradd Nebo",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Nebo","Caernarfon","Gwynedd",NA,"LL54 6EE","01286 881273",23,-4.2691238,53.030246
6612085,"Ysgol Gymuned Penisarwaun",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Penisarwaen","Caernarfon","Gwynedd",NA,"LL55 3BW","01286 870879",52,-4.1621458,53.1515238
6612089,"Ysgol Bro Lleu",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Penygroes","Caernarfon","Gwynedd",NA,"LL54 6RL","01286 880883",211,-4.2776975,53.0543304
6612093,"Ysgol Gynradd Pentreuchaf",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pentreuchaf","Pwllheli","Gwynedd",NA,"LL53 8DZ","01758 750600",112,-4.4512144,52.927089
6612097,"Ysgol Rhiwlas",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Rhiwlas","Bangor","Gwynedd",NA,"LL57 4EH","01248 352483",39,-4.1302459,53.174199
6612098,"Ysgol Gynradd Rhosgadfan",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Rhosgadfan","Caernarfon","Gwynedd",NA,"LL54 7EU","01286 830160",38,-4.2306331,53.0908477
6612099,"Ysgol Gynradd Rhostryfan",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Rhostryfan","Caernarfon","Gwynedd",NA,"LL54 7LR","01286 830727",90,-4.2435762,53.0984675
6612103,"Ysgol Sarn Bach",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Sarn Bach","Pwllheli","Gwynedd",NA,"LL53 7LF","01758 712714",55,-4.5209985,52.8103149
6612104,"Ysgol Eifion Wyn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Porthmadog","Gwynedd",NA,NA,"LL49 9NU","01766 513286",202,-4.1345667,52.9286118
6612108,"Ysgol Gynradd Talysarn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","COED MADOG","TALYSARN","Gwynedd",NA,"LL54 6HR","01286 880885",99,-4.2554093,53.0541197
6612110,"Ysgol Y Gorlan",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Tremadog","Porthmadog","Gwynedd",NA,"LL49 9RN","01766 512773",117,-4.1482957,52.9380429
6612111,"Ysgol Yr Eifl",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Trefor","Caernarfon","Gwynedd",NA,"LL54 5LU","01286 660523",57,-4.4282565,52.991639
6612112,"Ysgol Gynradd Tudweiliog",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Tudweiliog","Pwllheli","Gwynedd",NA,"LL53 8ND","01758 770669",52,-4.6225043,52.8987157
6612113,"Ysgol Waunfawr",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Waunfawr","Caernarfon","Gwynedd",NA,"LL55 4LJ","01286 650451",142,-4.2055046,53.1132866
6612116,"Ysgol Glancegin",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Maesgeirchen","Bangor","Gwynedd",NA,"LL57 1ST","01248 353097",245,-4.1182795,53.2261932
6612118,"Ysgol Babanod Coedmawr",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery & Infants","---","Coedmawr","Bangor","Gwynedd",NA,"LL57 4TL","01248 352464",28,-4.1492162,53.2148357
6612119,"Ysgol Yr Hendre",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Caernarfon","Gwynedd",NA,NA,"LL55 2AT","01286 674332",406,-4.2585094,53.1364963
6612122,"Ysgol Bontnewydd",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Bontnewydd","Caernarfon","Gwynedd",NA,"LL55 2UF","01286 673880",194,-4.2690971,53.1152342
6612123,"Ysgol Gymraeg Y Garnedd",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Penrhos","Bangor","Gwynedd",NA,"LL57 2LX","01248 352534",339,-4.1560554,53.2140917
6612125,"Ysgol Cymerau",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffordd Mela","Pwllheli","Gwynedd",NA,"LL53 5AR","01758 612001",355,-4.4192621,52.8822691
6612126,"Ysgol Abercaseg (Babanod)",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery & Infants","---","Bethesda","Bangor","Gwynedd",NA,"LL57 3PL","01248 600194",144,-4.0531187,53.1770145
6612127,"Ysgol Y Felinheli",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Felinheli","Gwynedd",NA,NA,"LL56 4TZ","01248 670748",189,-4.2151675,53.1762818
6612180,"Ysgol Bro Tegid",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Y Bala","Gwynedd",NA,NA,"LL23 7BN","01678 520278",130,-3.5960015,52.908174
6612181,"Ysgol y Traeth",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Abermaw","Gwynedd",NA,NA,"LL42 1HH","01341 280479",203,-4.0614088,52.7245317
6612185,"Ysgol Gynradd Dyffryn Dulas",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Corris","Machynlleth","Powys",NA,"SY20 9TQ","01654 761622",65,-3.8428387,52.6570009
6612189,"Ysgol Gynradd Dyffryn Ardudwy",661,"Gwynedd","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Dyffryn Ardudwy","Gwynedd",NA,NA,"LL44 2EP","01341 247294",73,-4.0949029,52.7815118
6612190,"Ysgol Bro Cynfal",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Ffestiniog","Blaenau Ffestiniog","Gwynedd",NA,"LL41 4NF","01766 762668",61,-3.9326088,52.9561194
6612192,"Ysgol Edmwnd Prys",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Gellilydan","Blaenau Ffestiniog","Gwynedd",NA,"LL41 4DY","01766 590348",35,-3.9581801,52.9386435
6612194,"Ysgol Gynradd Llanbedr",661,"Gwynedd","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Llanbedr","Gwynedd",NA,NA,"LL45 2NW","01341 241422",49,-4.0979155,52.8213061
6612198,"Ysgol Y Garreg",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanfrothen","Penrhyndeudraeth","Gwynedd",NA,"LL48 6LJ","01766 770727",28,-4.0602512,52.9518314
6612199,"Ysgol O M Edwards",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Llanuwchllyn","Bala","Gwynedd",NA,"LL23 7UB","01678 540242",109,-3.6723522,52.8597035
6612205,"Ysgol Manod",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Blaenau Ffestiniog","Gwynedd",NA,NA,"LL41 4AF","01766 830272",102,-3.9304591,52.9847521
6612207,"Ysgol Gynradd Pennal",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Pennal","Machynlleth","Gwynedd",NA,"SY20 9JT","01654 791225",22,-3.9229073,52.5849962
6612208,"Ysgol Cefn Coch",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Penrhyndeudraeth","Gwynedd",NA,NA,"LL48 6AE","01766 770291",185,-4.0680553,52.929898
6612210,"Ysgol Talsarnau",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Talsarnau","Gwynedd",NA,NA,"LL47 6TA","01766 770768",47,-4.0717122,52.8997189
6612211,"Ysgol Gynradd Tanygrisiau",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Blaenau Ffestiniog","Gwynedd",NA,NA,"LL41 3SU","01766 830795",73,-3.9600387,52.9855359
6612212,"Ysgol Gynradd Penybryn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Infants & Juniors","---","Tywyn","Gwynedd",NA,NA,"LL36 9EF","01654 710237",245,-4.08337,52.5852592
6612213,"Ysgol Bro Hedd Wyn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Trawsfynydd","Blaenau Ffestiniog","Gwynedd",NA,"LL41 4SE","01766 540247",76,-3.9221673,52.9018925
6612214,"Ysgol Bro Tryweryn",661,"Gwynedd","Primary","Community","WM","Welsh medium","Nursery, Infants & Juniors","---","Frongoch","Bala","Gwynedd",NA,"LL23 7NT","01678 520740",51,-3.6407769,52.9392095
